Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,adev_SN_1,adev_SN_2,adev_SN_3,adev_SN_4
20,-0.000287304666821837,0.000355375470750667,-0.000445330163976438,-0.000115842799838822,0.000493102159886434,0.0260479628586845,0.0268707095392438,0.0269863837338114,0.0223076623023452
30,-0.000392832944207575,0.00102103430486376,-0.00105691959498661,-6.41859743309095e-05,0.000492904208661335,0.0245918614579081,0.0254294193924858,0.0251907815359348,0.0200064189417674
50,-0.00175640578149034,0.00160399296737807,-0.00132460163005477,0.000597981813120807,0.000879032631046237,0.0213649109089696,0.0230573316281397,0.0228828381327957,0.0170112187022726
100,-0.00178001340781672,0.00167668011649995,-0.00115481254574965,0.000851386461543267,0.000406759375523142,0.0171136478775281,0.01924592514918,0.0183021592019143,0.0129636896181561
200,-0.00188311297425065,0.00219651015073312,-0.00169762115945783,0.000824223340537956,0.000560000642437411,0.0127603307730821,0.0143874813208488,0.0136211226618506,0.00934831662738841
300,-0.00191116905602726,0.00209081962046236,-0.00177079467124928,0.000763752398465577,0.000827391708348602,0.0106663005089848,0.0122574366035231,0.0117810851623562,0.00778403189624176
400,-0.00193138806349193,0.00225930607113486,-0.00187466222913884,0.000787593747999717,0.000759150473496188,0.00942241916617297,0.0107627194018268,0.0101480222717909,0.00666165076336439
500,-0.00191444540280718,0.00207229504806624,-0.00166986012161521,0.000688435368964619,0.000823575107391537,0.00838339248959226,0.00955565916651145,0.00898506161224271,0.00594521273846328
600,-0.0020180530694981,0.00220917634395772,-0.00178926612767433,0.000830862559724255,0.000767280293490457,0.00757387499952885,0.00883319979876315,0.00823748899875654,0.00549717413967162
700,-0.00201632816097151,0.00226438382770643,-0.00177002781121284,0.000855431962301017,0.000666540182176897,0.00706597491022956,0.00826798475800075,0.00777459467111523,0.00495860907666377
800,-0.00181185447303104,0.00208335939899254,-0.00164465152990564,0.000694344416342713,0.000678802187601432,0.00668096439329998,0.00768320779061014,0.0073192540634343,0.0047439299706409
900,-0.00191011075824778,0.00216766472581089,-0.00171959427325901,0.000852222175375171,0.000609818130320722,0.00628689510487111,0.00712601682959055,0.0067037716564415,0.00446752890436812
1000,-0.00184295753107959,0.00206440992919883,-0.00161996223105357,0.00077178770033348,0.000626722132600847,0.00602021661860508,0.00694263858823526,0.00651639939841332,0.00423779578342817
