Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,adev_t3_1,adev_t3_2,adev_t3_3,adev_t3_4
20,-0.00116131113858372,0.000254194496269819,0.000264490548248024,-1.71917218486044e-06,0.000644345266250734,0.045613815693169,0.0424102389046089,0.0464481782651848,0.0489016803218152
30,0.00136633639170642,-0.000895267512631601,4.94871963848307e-05,7.96863697323368e-05,-0.000600242445191986,0.0460270163482375,0.0440655545120062,0.0474648552172745,0.0513706010057213
50,5.53653071500962e-05,-0.000629028521144577,0.000331333138660159,-0.000190650876265756,0.000432980951600083,0.0459263023450499,0.0428245234948765,0.0477660768063043,0.05104858383314
100,-0.000525938456158153,0.000206966899635148,-6.96602318795873e-05,7.98144540658719e-05,0.000308817334336721,0.0437015057596523,0.0391823544982441,0.0445012275487809,0.0471672272748069
200,-4.29739756365285e-05,0.000538256670563354,6.83371988026909e-05,-0.000243997961821124,-0.000319621931908388,0.0391193382852991,0.0343705397278768,0.0401628075032936,0.0425613236774685
300,0.000412181820978724,-0.000675665428897251,0.000309049776512384,0.000163638659990714,-0.000209204828584574,0.0373055299609035,0.0325736488256736,0.0377017365847091,0.039297314775627
400,-0.000438915996878293,-0.000653618584318691,0.000847993579462566,5.57794534808818e-05,0.000188761548253536,0.0346817896992305,0.0302404048333893,0.0349254936918754,0.0390257963524549
500,-0.000948314326421497,0.000167096463455019,0.00105314440278008,8.2123207771092e-05,-0.000354049747584691,0.0336524499675459,0.0295876930281204,0.0341691400006418,0.0362578283224251
600,0.000242708204674015,-0.000229135747081689,-0.000650457153540533,0.00084645455991914,-0.000209569863970934,0.031862237416695,0.0285561210516062,0.0326523714106506,0.0352673126950335
700,-0.000328440312012835,0.000393424641888192,0.000273737460873556,-0.000265023482644905,-7.36983081040087e-05,0.0314430545187004,0.0284339028484141,0.0323304819213717,0.0324579929486052
800,0.000325574929087319,-6.41216724230935e-05,0.000422576519647788,-0.000450157311187821,-0.000233872465124194,0.0309201239606146,0.0255516709626648,0.0314290902853503,0.0320371171860112
900,0.000137929999425834,0.00107005734608547,-0.000321038082279024,-0.000243808538709678,-0.000643140724522607,0.0295095697808658,0.0266806196844153,0.0317499734381714,0.0321322184397263
1000,0.000416505397138077,-0.00111358627297626,5.58159609880173e-05,0.000601452359400685,3.98125554494767e-05,0.0298017504633483,0.0253797739802288,0.0303278284158507,0.0322844180202873
